Geneid	Chrom	Start	End	Length	chr.1	start.1	end.1	width.1	strand.1	genes	GeneSymbol	annotation
Interval_12798	chr10	85136511	85137278	768	10	85131700	85185064	53365	-	ENSMUSG00000020038	Cry1	Intron (ENSMUST00000020227.9/ENSMUSG00000020038.9, intron 10 of 12)
Interval_16840	chr11	34916463	34917672	1210	11	34899017	34899123	107	+	ENSMUSG00000064577	Gm25799	Distal Intergenic
Interval_17120	chr11	45116509	45117270	762	11	45102866	45116928	14063	-	ENSMUSG00000084773	Gm12159	Promoter (<=1kb)
Interval_17803	chr11	54201197	54202271	1075	11	54177772	54213285	35514	-	ENSMUSG00000086209	4933405E24Rik	Promoter (1-2kb)
Interval_20404	chr11	88575913	88577484	1572	11	88339382	88718513	379132	-	ENSMUSG00000069769	Msi2	Intron (ENSMUST00000107909.7/ENSMUSG00000069769.13, intron 6 of 13)
Interval_20716	chr11	95350859	95351889	1031	11	95337018	95381872	44855	+	ENSMUSG00000038893	Fam117a	Exon (ENSMUST00000143482.1/ENSMUSG00000038893.12, exon 3 of 6)
Interval_21935	chr11	107142214	107143008	795	11	107033081	107132127	99047	-	ENSMUSG00000040481	Bptf	Distal Intergenic
Interval_2275	chr1	72428507	72429823	1317	1	72427112	72536930	109819	-	ENSMUSG00000039372	Marchf4	3' UTR
Interval_22928	chr11	118000311	118001231	921	11	117986292	118024011	37720	+	ENSMUSG00000017715	Pgs1	Promoter (<=1kb)
Interval_23621	chr12	8353050	8353738	689	12	8313432	8343824	30393	+	ENSMUSG00000020605	Hs1bp3	Distal Intergenic
Interval_24678	chr12	34801988	34803196	1209	12	34047580	34917095	869516	-	ENSMUSG00000004698	Hdac9	Intron (ENSMUST00000211752.1/ENSMUSG00000004698.10, intron 3 of 26)
Interval_24897	chr12	41027137	41027945	809	12	41024090	41955588	931499	+	ENSMUSG00000056899	Immp2l	Promoter (2-3kb)
Interval_26363	chr12	84691037	84691828	792	12	84677277	84698831	21555	-	ENSMUSG00000071234	Syndig1l	Intron (ENSMUST00000095550.2/ENSMUSG00000071234.2, intron 1 of 3)
Interval_26709	chr12	91099899	91100892	994	12	90998492	91384409	385918	-	ENSMUSG00000061533	Cep128	Intron (ENSMUST00000143415.7/ENSMUSG00000061533.15, intron 6 of 12)
Interval_27258	chr12	103273037	103273952	916	12	103196908	103242150	45243	-	ENSMUSG00000041669	Prima1	Distal Intergenic
Interval_2853	chr1	85618634	85620452	1819	1	85600378	85645037	44660	+	ENSMUSG00000070031	Sp140	Exon (ENSMUST00000080204.10/ENSMUSG00000070031.11, exon 6 of 17)
Interval_29501	chr13	30720672	30722051	1380	13	30659999	30711231	51233	+	ENSMUSG00000069255	Dusp22	Distal Intergenic
Interval_30812	chr13	52154982	52156460	1479	13	52180411	52181637	1227	+	ENSMUSG00000113399	Gm48199	Distal Intergenic
Interval_32883	chr13	100644954	100645453	500	13	100617164	100651051	33888	-	ENSMUSG00000021635	Rad17	Exon (ENSMUST00000022136.12/ENSMUSG00000021635.13, exon 3 of 17)
Interval_33818	chr14	7989405	7990390	986	14	7964533	7994573	30041	-	ENSMUSG00000025279	Dnase1l3	Intron (ENSMUST00000026315.7/ENSMUSG00000025279.7, intron 1 of 7)
Interval_33821	chr14	7995764	7996591	828	14	7964533	7994573	30041	-	ENSMUSG00000025279	Dnase1l3	Promoter (1-2kb)
Interval_34656	chr14	30173130	30174079	950	14	30039939	30491455	451517	-	ENSMUSG00000015968	Cacna1d	Intron (ENSMUST00000112249.7/ENSMUSG00000015968.16, intron 7 of 46)
Interval_36264	chr14	64715552	64716444	893	14	64647265	64809617	162353	+	ENSMUSG00000060012	Kif13b	Intron (ENSMUST00000100473.4/ENSMUSG00000060012.7, intron 5 of 39)
Interval_37659	chr14	118086065	118086565	501	14	118111911	118132755	20845	-	ENSMUSG00000022130	Tgds	Distal Intergenic
Interval_37962	chr14	121786242	121787133	892	14	121542046	121797837	255792	-	ENSMUSG00000025558	Dock9	Intron (ENSMUST00000100299.9/ENSMUSG00000025558.15, intron 1 of 52)
Interval_38919	chr15	34932914	34933584	671	15	34875496	35178921	303426	-	ENSMUSG00000022329	Stk3	Intron (ENSMUST00000018476.13/ENSMUSG00000022329.14, intron 10 of 10)
Interval_39611	chr15	58369962	58370673	712	15	58341363	58389383	48021	-	ENSMUSG00000055114	Anxa13	Distal Intergenic
Interval_40159	chr15	67217886	67218751	866	15	67226769	67377094	150326	+	ENSMUSG00000102069	1700012I11Rik	Distal Intergenic
Interval_41348	chr15	82225741	82226823	1083	15	82221743	82224369	2627	-	ENSMUSG00000068105	Tnfrsf13c	Promoter (1-2kb)
Interval_41432	chr15	83155410	83156437	1028	15	83153494	83172592	19099	-	ENSMUSG00000018042	Cyb5r3	Intron (ENSMUST00000018186.15/ENSMUSG00000018042.17, intron 8 of 8)
Interval_42812	chr15	101235121	101236113	993	15	101224188	101232756	8569	+	ENSMUSG00000000531	Grasp	Distal Intergenic
Interval_42923	chr15	102256846	102258286	1441	15	102234938	102257517	22580	-	ENSMUSG00000001288	Rarg	Promoter (<=1kb)
Interval_43486	chr16	10714433	10715149	717	16	10545339	10744878	199540	+	ENSMUSG00000068663	Clec16a	Intron (ENSMUST00000066345.13/ENSMUSG00000068663.13, intron 22 of 23)
Interval_43756	chr16	13894007	13894954	948	16	13833148	13903131	69984	-	ENSMUSG00000022680	Pdxdc1	Intron (ENSMUST00000023361.11/ENSMUSG00000022680.13, intron 1 of 23)
Interval_44728	chr16	29844643	29845492	850	16	29811058	29837814	26757	+	ENSMUSG00000097307	Gm26834	Distal Intergenic
Interval_448	chr1	21037896	21038612	717	1	20996299	21079229	82931	-	ENSMUSG00000041779	Tram2	Intron (ENSMUST00000037998.5/ENSMUSG00000041779.5, intron 1 of 10)
Interval_4543	chr1	131037954	131039084	1131	1	131019845	131024974	5130	+	ENSMUSG00000016529	Il10	Distal Intergenic
Interval_46454	chr16	77643933	77645334	1402	16	77236317	77773427	537111	+	ENSMUSG00000090386	Mir99ahg	Promoter (<=1kb)
Interval_46461	chr16	78198499	78199155	657	16	78240258	78240388	131	+	ENSMUSG00000077451	Gm25916	Distal Intergenic
Interval_46462	chr16	78200233	78201078	846	16	78240258	78240388	131	+	ENSMUSG00000077451	Gm25916	Distal Intergenic
Interval_46464	chr16	78232115	78232695	581	16	78240258	78240388	131	+	ENSMUSG00000077451	Gm25916	Distal Intergenic
Interval_47098	chr16	93962115	93962874	760	16	93919031	94008837	89807	-	ENSMUSG00000047109	Cldn14	Intron (ENSMUST00000050962.4/ENSMUSG00000047109.12, intron 1 of 2)
Interval_47109	chr16	94014728	94015376	649	16	94015942	94016324	383	+	ENSMUSG00000116939	Gm49619	Distal Intergenic
Interval_47297	chr16	95749211	95750549	1339	16	95754300	95754707	408	+	ENSMUSG00000117167	Gm6599	Distal Intergenic
Interval_4857	chr1	133825353	133826336	984	1	133829528	133831225	1698	+	ENSMUSG00000103166	Gm10537	Distal Intergenic
Interval_48802	chr17	24768761	24769743	983	17	24779703	24781984	2282	+	ENSMUSG00000117379	Gm50022	Distal Intergenic
Interval_49012	chr17	26560430	26562864	2435	17	26505590	26562128	56539	-	ENSMUSG00000024190	Dusp1	Promoter (<=1kb)
Interval_49360	chr17	29115900	29116764	865	17	29114145	29148980	34836	+	ENSMUSG00000064147	Rab44	Promoter (1-2kb)
Interval_49832	chr17	33090757	33091493	737	17	33089310	33110705	21396	+	ENSMUSG00000067424	Zfp563	Promoter (<=1kb)
Interval_50471	chr17	44418670	44419482	813	17	44366568	44367903	1336	-	ENSMUSG00000117106	Gm49872	Distal Intergenic
Interval_50802	chr17	47462450	47463125	676	17	47436615	47470638	34024	+	ENSMUSG00000034382	AI661453	Intron (ENSMUST00000037701.12/ENSMUSG00000034382.14, intron 2 of 4)
Interval_53047	chr17	88337021	88338307	1287	17	88253483	88388699	135217	-	ENSMUSG00000117351	Gm31615	Distal Intergenic
Interval_53050	chr17	88346843	88347471	629	17	88253483	88388699	135217	-	ENSMUSG00000117351	Gm31615	Distal Intergenic
Interval_54608	chr18	39463461	39464033	573	18	39410545	39519421	108877	-	ENSMUSG00000024431	Nr3c1	Intron (ENSMUST00000115567.7/ENSMUSG00000024431.14, intron 2 of 8)
Interval_5481	chr1	150459328	150460335	1008	1	150449412	150466165	16754	-	ENSMUSG00000006014	Prg4	Intron (ENSMUST00000006171.15/ENSMUSG00000006014.16, intron 3 of 10)
Interval_55750	chr18	67390040	67391703	1664	18	67390717	67402749	12033	+	ENSMUSG00000001473	Tubb6	Promoter (<=1kb)
Interval_56156	chr18	75387151	75387894	744	18	75367529	75395935	28407	+	ENSMUSG00000025880	Smad7	Intron (ENSMUST00000026999.9/ENSMUSG00000025880.11, intron 3 of 3)
Interval_56465	chr18	79452958	79453632	675	18	79553557	79553677	121	-	ENSMUSG00000087717	Gm25824	Distal Intergenic
Interval_58406	chr19	28772566	28773337	772	19	28763161	28763430	270	-	ENSMUSG00000090737	Gm6788	Distal Intergenic
Interval_58409	chr19	28868313	28869893	1581	19	28835049	28913960	78912	+	ENSMUSG00000024935	Slc1a1	Intron (ENSMUST00000161340.1/ENSMUSG00000024935.10, intron 1 of 1)
Interval_58874	chr19	37136907	37137756	850	19	37021291	37208601	187311	-	ENSMUSG00000039652	Cpeb3	Intron (ENSMUST00000079754.10/ENSMUSG00000039652.16, intron 3 of 10)
Interval_59838	chr19	53318069	53319112	1044	19	53310518	53375810	65293	+	ENSMUSG00000025025	Mxi1	Intron (ENSMUST00000003870.13/ENSMUSG00000025025.13, intron 1 of 5)
Interval_59865	chr19	53484792	53485478	687	19	53483494	53486485	2992	+	ENSMUSG00000118378	Gm50393	Distal Intergenic
Interval_60368	chr19	60284099	60285636	1538	19	60241853	60243581	1729	+	ENSMUSG00000099678	Gm28351	Distal Intergenic
Interval_6111	chr1	159371768	159372541	774	1	159378404	159378909	506	+	ENSMUSG00000103289	Gm31256	Distal Intergenic
Interval_61137	chr2	18921630	18922134	505	2	18842255	18998126	155872	-	ENSMUSG00000026737	Pip4k2a	Intron (ENSMUST00000006912.11/ENSMUSG00000026737.12, intron 1 of 9)
Interval_62408	chr2	33845723	33846706	984	2	33729953	33887946	157994	-	ENSMUSG00000038740	Mvb12b	Intron (ENSMUST00000041555.9/ENSMUSG00000038740.9, intron 2 of 9)
Interval_63118	chr2	51148996	51149356	361	2	51130438	51149111	18674	-	ENSMUSG00000017144	Rnd3	Promoter (<=1kb)
Interval_63281	chr2	58138719	58138950	232	2	58129137	58195532	66396	-	ENSMUSG00000026832	Cytip	Intron (ENSMUST00000028175.6/ENSMUSG00000026832.12, intron 6 of 7)
Interval_63840	chr2	70932899	70933629	731	2	70964561	71055583	91023	-	ENSMUSG00000041975	Mettl8	Distal Intergenic
Interval_6426	chr1	164457570	164459043	1474	1	164437109	164458355	21247	-	ENSMUSG00000026576	Atp1b1	Promoter (<=1kb)
Interval_64796	chr2	93150678	93151643	966	2	93187548	93201759	14212	+	ENSMUSG00000068735	Trp53i11	Distal Intergenic
Interval_64953	chr2	101598370	101599133	764	2	101560781	101649532	88752	-	ENSMUSG00000027165	B230118H07Rik	Intron (ENSMUST00000111231.9/ENSMUSG00000027165.16, intron 2 of 6)
Interval_64961	chr2	101650392	101650896	505	2	101560781	101649532	88752	-	ENSMUSG00000027165	B230118H07Rik	Promoter (<=1kb)
Interval_66018	chr2	125080141	125080959	819	2	125068124	125088677	20554	+	ENSMUSG00000035183	Slc24a5	Promoter (<=1kb)
Interval_67247	chr2	152813258	152813636	379	2	152780668	152831728	51061	-	ENSMUSG00000007659	Bcl2l1	Intron (ENSMUST00000007803.11/ENSMUSG00000007659.18, intron 2 of 2)
Interval_67928	chr2	160603140	160603821	682	2	160568379	160619971	51593	-	ENSMUSG00000078956	Gm14221	Intron (ENSMUST00000109473.1/ENSMUSG00000078956.3, intron 1 of 2)
Interval_71380	chr3	58593588	58594131	544	3	58576636	58593133	16498	+	ENSMUSG00000075700	Selenot	Distal Intergenic
Interval_71433	chr3	59148808	59149953	1146	3	59005825	59318682	312858	+	ENSMUSG00000056476	Med12l	Exon (ENSMUST00000196716.1/ENSMUSG00000036381.13, exon 1 of 1)
Interval_71905	chr3	79256738	79257439	702	3	79062516	79286517	224002	-	ENSMUSG00000062232	Rapgef2	Intron (ENSMUST00000195708.1/ENSMUSG00000062232.14, intron 1 of 29)
Interval_72149	chr3	84688095	84688432	338	3	84496426	85887518	1391093	-	ENSMUSG00000102805	Gm37240	Promoter (1-2kb)
Interval_74063	chr3	115672971	115674457	1487	3	115710433	115715072	4640	-	ENSMUSG00000045092	S1pr1	Distal Intergenic
Interval_74603	chr3	129488569	129489357	789	3	129461972	129462747	776	+	ENSMUSG00000106258	Rpl7a-ps7	Distal Intergenic
Interval_75587	chr3	147096050	147096549	500	3	147096184	147128749	32566	+	ENSMUSG00000103334	Gm29771	Promoter (<=1kb)
Interval_75632	chr3	148852283	148853100	818	3	148815583	148990555	174973	-	ENSMUSG00000028184	Adgrl2	Exon (ENSMUST00000106128.6/ENSMUSG00000028184.12, exon 5 of 23)
Interval_75641	chr3	148987238	148990625	3388	3	148815583	148990555	174973	-	ENSMUSG00000028184	Adgrl2	Promoter (<=1kb)
Interval_78295	chr4	63156854	63157457	604	4	63143275	63154799	11525	-	ENSMUSG00000028356	Ambp	Promoter (2-3kb)
Interval_78302	chr4	63205234	63206089	856	4	63214004	63334991	120988	+	ENSMUSG00000045672	Col27a1	Distal Intergenic
Interval_78402	chr4	63935180	63936218	1039	4	63959785	64047015	87231	-	ENSMUSG00000028364	Tnc	Distal Intergenic
Interval_7850	chr1	184542221	184542995	775	1	184527841	184557691	29851	-	ENSMUSG00000101574	1700112H15Rik	Intron (ENSMUST00000188766.1/ENSMUSG00000101574.1, intron 2 of 5)
Interval_78726	chr4	88046054	88046938	885	4	88043804	88044041	238	+	ENSMUSG00000081530	Gm12646	Promoter (2-3kb)
Interval_80089	chr4	119812756	119814074	1319	4	119733784	120138045	404262	+	ENSMUSG00000028634	Hivep3	Promoter (<=1kb)
Interval_80090	chr4	119815333	119815829	497	4	119733784	120138045	404262	+	ENSMUSG00000028634	Hivep3	Promoter (<=1kb)
Interval_8122	chr1	189703017	189704050	1034	1	189640606	189688086	47481	-	ENSMUSG00000026605	Cenpf	Distal Intergenic
Interval_8134	chr1	189781834	189783188	1355	1	189728268	189876695	148428	+	ENSMUSG00000026604	Ptpn14	Intron (ENSMUST00000097442.8/ENSMUSG00000026604.17, intron 1 of 18)
Interval_81495	chr4	134587861	134588763	903	4	134561690	134704290	142601	-	ENSMUSG00000037306	Man1c1	Intron (ENSMUST00000038628.3/ENSMUSG00000037306.13, intron 5 of 12)
Interval_81507	chr4	134683621	134684402	782	4	134561690	134704290	142601	-	ENSMUSG00000037306	Man1c1	Intron (ENSMUST00000038628.3/ENSMUSG00000037306.13, intron 2 of 12)
Interval_83189	chr4	150557415	150558345	931	4	150281646	150621966	340321	+	ENSMUSG00000039852	Rere	Intron (ENSMUST00000105682.8/ENSMUSG00000039852.16, intron 11 of 22)
Interval_83308	chr4	151805653	151806916	1264	4	150917322	151861876	944555	-	ENSMUSG00000014592	Camta1	Intron (ENSMUST00000169423.8/ENSMUSG00000014592.19, intron 3 of 24)
Interval_8473	chr1	193180877	193181952	1076	1	193175453	193201703	26251	-	ENSMUSG00000037318	Traf3ip3	Promoter (2-3kb)
Interval_84993	chr5	30593964	30594949	986	5	30588170	30625271	37102	+	ENSMUSG00000049265	Kcnk3	Intron (ENSMUST00000066295.3/ENSMUSG00000049265.7, intron 1 of 1)
Interval_85516	chr5	36377512	36378631	1120	5	36017180	36398139	380960	-	ENSMUSG00000029093	Sorcs2	Intron (ENSMUST00000037370.13/ENSMUSG00000029093.14, intron 1 of 26)
Interval_86104	chr5	54042176	54042770	595	5	53998499	54121057	122559	+	ENSMUSG00000039156	Stim2	Intron (ENSMUST00000117661.8/ENSMUSG00000039156.19, intron 1 of 11)
Interval_87147	chr5	88534376	88535199	824	5	88519809	88527891	8083	-	ENSMUSG00000067149	Jchain	Distal Intergenic
Interval_87715	chr5	100794203	100794692	490	5	100762145	100798598	36454	-	ENSMUSG00000035266	Helq	Promoter (1-2kb)
Interval_87758	chr5	101934382	101936389	2008	5	101832956	102069921	236966	-	ENSMUSG00000043940	Wdfy3	Promoter (1-2kb)
Interval_88107	chr5	107014933	107015985	1053	5	106964322	106984432	20111	+	ENSMUSG00000029283	Cdc7	Distal Intergenic
Interval_89630	chr5	122311606	122312064	459	5	122284365	122324281	39917	+	ENSMUSG00000038582	Pptc7	Intron (ENSMUST00000053426.14/ENSMUSG00000038582.15, intron 2 of 5)
Interval_9118	chr10	16789586	16790195	610	10	16785734	16786461	728	-	ENSMUSG00000112118	Gm18039	Distal Intergenic
Interval_92377	chr6	8464734	8465829	1096	6	8259450	8597480	338031	+	ENSMUSG00000107705	Gm45062	Intron (ENSMUST00000162564.6/ENSMUSG00000107705.1, intron 4 of 10)
Interval_93234	chr6	35173009	35173587	579	6	35177421	35247596	70176	+	ENSMUSG00000038759	Nup205	Distal Intergenic
Interval_93353	chr6	38337922	38338583	662	6	38305286	38354603	49318	-	ENSMUSG00000029826	Zc3hav1	Intron (ENSMUST00000114900.7/ENSMUSG00000029826.14, intron 2 of 12)
Interval_93354	chr6	38339112	38339672	561	6	38305286	38354603	49318	-	ENSMUSG00000029826	Zc3hav1	Intron (ENSMUST00000114900.7/ENSMUSG00000029826.14, intron 2 of 12)
Interval_93595	chr6	42447143	42448346	1204	6	42443790	42443931	142	-	ENSMUSG00000108150	Gm44470	Distal Intergenic
Interval_9487	chr10	21563685	21564354	670	10	21593145	21622376	29232	+	ENSMUSG00000050844	1700020N01Rik	Distal Intergenic
